Language,Title,
Hausa,Sakonnin Kariya Daga Ambaliya,
Kanuri,Kawuliwa Wawa Njiye-ro Katәbe,
Shuwa,رِسالَتْ فوغ سلامه مِن صَيْل,
Marghi,Labar Arkira Asar Imi,
Bura,Labarayari atakəra nkamta asar pərtu,
English,Flood Safety Messages,
Waha,,
Fulfulde,,
Mandara,,
Kibaku,,
,,
Icon,,<- select an Icon view the available icons here
Expiration,2019-11-01,<- Double click to select a date
