Language,Title,
Hausa,Sakonnin Kariya Daga Ambaliya,
Kanuri,Kawuliwa Wawa Njiye-ro Katәbe,
Shuwa,رِسالَتْ فوغ سلامه مِن صَيْل,
Marghi,Labar Arkira Asar Imi,
Bura,Labarayari atakəra nkamta asar pərtu,
English,Safe water and hygine,
Waha,,
Fulfulde,,
Mandara,,
Kibaku,,
,,
Sector,health,<- select a sector
